,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
15,,2,0.05,0.0,0.05,0.01,0.99,2500,0.6542756,0.3457244,,2.129968,5324920.0,2175080.0,18,756.2322580645161,5.158805,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
16,,2,0.1,0.0,0.05,0.001,0.95,2500,0.48361,0.51639,,1.7215368,4303842.0,3196158.0,21,745.8851612903226,4.968124999999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
17,,2,0.1,0.0,0.05,0.001,0.99,2500,0.5782184,0.4217816,,1.6278996,4069749.0,3430251.0,25,516.1283870967742,16.592989999999993,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
18,,2,0.1,0.0,0.05,0.01,0.95,2500,0.1987444,0.8012556,,1.6599072,4149768.0,3350232.0,25,510.25870967741935,19.74675,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
19,,2,0.1,0.0,0.05,0.01,0.99,2500,0.4567756,0.5432244,,1.854244,4635610.0,2864390.0,10,776.55,5.2528320000000015,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
20,,2,0.2,0.0,0.05,0.001,0.95,2500,0.3881264,0.6118736,,1.758572,4396430.0,3103570.0,20,749.9732258064516,5.2624850000000025,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
21,,2,0.2,0.0,0.05,0.001,0.99,2500,0.5575708,0.4424292,,1.67997,4199925.0,3300075.0,25,498.7032258064516,21.416359000000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
22,,2,0.2,0.0,0.05,0.01,0.95,2500,0.1339524,0.8660476,,1.6025496,4006374.0,3493626.0,31,422.6029032258065,35.946380999999995,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
23,,2,0.2,0.0,0.05,0.01,0.99,2500,0.2210636,0.7789364,,1.6600144,4150036.0,3349964.0,2,795.9412903225807,5.153441000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
24,,4,0.05,0.0,0.05,0.001,0.95,2500,0.7503728,0.2496272,,2.5135332,6283833.0,1216167.0,7,775.1712903225806,5.219015999999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
25,,4,0.05,0.0,0.05,0.001,0.99,2500,0.7875008,0.2124992,,2.55647,6391175.0,1108825.0,15,751.4709677419355,5.010446000000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
26,,4,0.05,0.0,0.05,0.01,0.95,2500,0.6457804,0.3542196,,2.2043028,5510757.0,1989243.0,15,754.3193548387097,5.095075,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
27,,4,0.05,0.0,0.05,0.01,0.99,2500,0.8601252,0.1398748,,2.4565604,6141401.0,1358599.0,23,733.9174193548387,4.837311,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
28,,4,0.1,0.0,0.05,0.001,0.95,2500,0.7499988,0.2500012,,2.466434,6166085.0,1333915.0,10,778.1312903225806,4.975847000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
29,,4,0.1,0.0,0.05,0.001,0.99,2500,0.4471808,0.5528192,,1.910614,4776535.0,2723465.0,25,547.6825806451612,22.29810599999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
30,,4,0.1,0.0,0.05,0.01,0.95,2500,0.3811384,0.6188616,,1.7840352,4460088.0,3039912.0,17,768.2787096774193,4.975542000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
31,,4,0.1,0.0,0.05,0.01,0.99,2500,0.6356388,0.3643612,,2.1334084,5333521.0,2166479.0,23,736.7390322580645,4.833322999999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
32,,4,0.2,0.0,0.05,0.001,0.95,2500,0.5382576,0.4617424,,2.0218504,5054626.0,2445374.0,25,526.7967741935483,19.227045000000004,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
33,,4,0.2,0.0,0.05,0.001,0.99,2500,0.4269028,0.5730972,,1.8674036,4668509.0,2831491.0,11,780.7374193548387,5.151953000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
34,,4,0.2,0.0,0.05,0.01,0.95,2500,0.230274,0.769726,,1.57982,3949550.0,3550450.0,27,482.2877419354839,25.993571000000006,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
35,,4,0.2,0.0,0.05,0.01,0.99,2500,0.3331224,0.6668776,,1.7186792,4296698.0,3203302.0,18,753.2745161290322,4.966818,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
36,,8,0.05,0.0,0.05,0.001,0.95,2500,0.790154,0.209846,,2.4263836,6065959.0,1434041.0,15,753.9206451612903,5.156767000000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
37,,8,0.05,0.0,0.05,0.001,0.99,2500,0.8454576,0.1545424,,2.5949404,6487351.0,1012649.0,4,785.9390322580646,5.157101999999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
38,,8,0.05,0.0,0.05,0.01,0.95,2500,0.7976248,0.2023752,,2.3814324,5953581.0,1546419.0,12,766.0251612903226,5.352479999999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
39,,8,0.05,0.0,0.05,0.01,0.99,2500,0.8545664,0.1454336,,2.4723128,6180782.0,1319218.0,10,766.5509677419354,5.378552,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
40,,8,0.1,0.0,0.05,0.001,0.95,2500,0.7294748,0.2705252,,2.3130624,5782656.0,1717344.0,3,783.926129032258,5.326103999999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
41,,8,0.1,0.0,0.05,0.001,0.99,2500,0.6888288,0.3111712,,2.3435512,5858878.0,1641122.0,8,776.268064516129,5.189699,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
42,,8,0.1,0.0,0.05,0.01,0.95,2500,0.5965992,0.4034008,,2.0015276,5003819.0,2496181.0,12,764.8229032258065,5.2460939999999985,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
43,,8,0.1,0.0,0.05,0.01,0.99,2500,0.6849584,0.3150416,,2.2442484,5610621.0,1889379.0,23,733.6541935483871,5.0875379999999994,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
44,,8,0.2,0.0,0.05,0.001,0.95,2500,0.4520852,0.5479148,,1.8369252,4592313.0,2907687.0,25,603.7983870967741,21.035822000000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
45,,8,0.2,0.0,0.05,0.001,0.99,2500,0.441076,0.558924,,1.8297988,4574497.0,2925503.0,25,559.7029032258065,21.82198799999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
46,,8,0.2,0.0,0.05,0.01,0.95,2500,0.4667064,0.5332936,,1.8444916,4611229.0,2888771.0,25,530.4229032258064,25.84399900000001,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
47,,8,0.2,0.0,0.05,0.01,0.99,2500,0.4913356,0.5086644,,1.9156112,4789028.0,2710972.0,6,782.4916129032258,5.723082999999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
